county,office_bp,candidate,party
Adair,Adair County Clerk,Destiny Greer,REP
Adair,Adair County Clerk,Nadalie Inscho,REP
Adair,Adair County Constable District 6,Jason T. Rector,REP
Adair,Adair County Constable District 6,Louis Ponzi,REP
Adair,Adair County Judge/Executive,Chris Reeder,REP
Adair,Adair County Judge/Executive,Gale B. Cowan,REP
Adair,Adair County Judge/Executive,Larry Russell Bryant,REP
Adair,Adair County Magistrate District 1,Donnie G. Curry,REP
Adair,Adair County Magistrate District 1,Jared Stargel,REP
Adair,Adair County Magistrate District 1,Joe Edward Kimbler,REP
Adair,Adair County Magistrate District 1,Tony Denton,REP
Adair,Adair County Magistrate District 2,Daryl Flatt,REP
Adair,Adair County Magistrate District 2,Greg L. Willis,REP
Adair,Adair County Magistrate District 2,James Eaton,REP
Adair,Adair County Magistrate District 3,Brian Turner,REP
Adair,Adair County Magistrate District 3,Todd Smith,REP
Adair,Adair County Magistrate District 3,Veronica Arnold,REP
Adair,Adair County Magistrate District 4,Barry Petty,REP
Adair,Adair County Magistrate District 4,Carley Fudge,REP
Adair,Adair County Magistrate District 4,Chris Janes,REP
Adair,Adair County Magistrate District 6,Greg Caldwell,REP
Adair,Adair County Magistrate District 6,Ronald Mark Humphress,REP
Adair,Adair County Magistrate District 7,Bryan Cheatham,REP
Adair,Adair County Magistrate District 7,Richard Phelps,REP
Adair,Adair County Magistrate District 7,Stephen Foster,REP
Adair,Adair County Sheriff,Gary Roy,REP
Adair,Adair County Sheriff,Joey Keith,REP
Adair,Adair County Sheriff,Rodger Young,REP
Allen,Allen County Jailer,Alan Lattie Moore,REP
Allen,Allen County Jailer,Johnathan Carter,REP
Allen,Allen County Jailer,Kyle D. Harper,REP
Allen,Allen County Jailer,Scottie Lee Hudson II,REP
Allen,Allen County Jailer,Tim Meador,REP
Allen,Allen County Judge/Executive,Dennis Harper,REP
Allen,Allen County Judge/Executive,Rob Herrington,REP
Allen,Allen County Magistrate District 3,Brandon King,REP
Allen,Allen County Magistrate District 3,Brock William Coffey,REP
Allen,Allen County Magistrate District 3,Eric Twayne Jones,REP
Allen,Allen County Magistrate District 3,Orel Steven Meador,REP
Allen,Allen County Magistrate District 3,William Bray Jr.,REP
Allen,Allen County Magistrate District 3,William Thomason,REP
Allen,Allen County Magistrate District 3,William Webb,REP
Allen,Allen County Magistrate District 5,Anthony Thompson,REP
Allen,Allen County Magistrate District 5,Tim Miller,REP
Anderson,Anderson County Attorney,Dotty McCann Watts,REP
Anderson,Anderson County Attorney,Robert Wiedo,REP
Anderson,Anderson County Jailer,Joseph Robinson,REP
Anderson,Anderson County Jailer,Tasha Hellard,REP
Anderson,Anderson County Magistrate District 1,Anthony Searcy,REP
Anderson,Anderson County Magistrate District 1,Rodney Durr,REP
Anderson,Anderson County Magistrate District 5,David Montgomery,REP
Anderson,Anderson County Magistrate District 5,Noal Cotton Jr.,REP
Anderson,Anderson County Magistrate District 6,Gregory A. Lewis,REP
Anderson,Anderson County Magistrate District 6,Gwen Carpenter,REP
Anderson,Anderson County Magistrate District 6,J. Wesley Ellis Jr.,REP
Anderson,Anderson County Magistrate District 6,Kenny Barnett,REP
Anderson,Anderson County Magistrate District 6,Robby L. Hatter,REP
Anderson,Anderson County Magistrate/Justice of the Peace District 3,Justin R. Kelly,REP
Anderson,Anderson County Magistrate/Justice of the Peace District 3,Leslie Edmondson,REP
Ballard,Ballard County Clerk,Jessica L. Grief,REP
Ballard,Ballard County Clerk,Travis L. Holder,REP
Ballard,Ballard County Jailer,Eric Coppess,REP
Ballard,Ballard County Jailer,James Campbell,REP
Ballard,Ballard County Magistrate District 1,Justin A. Smith,REP
Ballard,Ballard County Magistrate District 1,Ryan Hedrick,REP
Ballard,Ballard County Magistrate District 2,Barry Babb,REP
Ballard,Ballard County Magistrate District 2,Matt Thresher,REP
Ballard,Ballard County Magistrate District 3,Justin Mayo,REP
Ballard,Ballard County Magistrate District 3,Sidney Lovelace,REP
Ballard,Ballard County Magistrate District 4,Conner Swinford,REP
Ballard,Ballard County Magistrate District 4,Nathaniel Wyatt Whipple,REP
Ballard,Ballard County Magistrate District 5,Henry Bisson,REP
Ballard,Ballard County Magistrate District 5,Stonnie Dennis,REP
Ballard,Ballard County Property Valuation Administrator,Angel Horn,REP
Ballard,Ballard County Property Valuation Administrator,Susan Sullivan,REP
Ballard,Ballard County Sheriff,Ronnie Giles,REP
Ballard,Ballard County Sheriff,Ronnie Harvell,REP
Barren,Barren County Constable District 4,Russ Webster,REP
Barren,Barren County Constable District 4,Wayne Pedigo,REP
Barren,Barren County Jailer,Aaron M. Shirley,REP
Barren,Barren County Jailer,Hunter Jones,REP
Barren,Barren County Jailer,Larry Poteet,REP
Barren,Barren County Judge/Executive,Jamie Bewley Byrd,REP
Barren,Barren County Judge/Executive,Paula Ratliff Pedigo,REP
Barren,Barren County Magistrate District 1,Brandin Bartley,REP
Barren,Barren County Magistrate District 1,Mark Shipley,REP
Barren,Barren County Magistrate District 2,Brandon Bell,REP
Barren,Barren County Magistrate District 2,Derek Pedigo,REP
Barren,Barren County Magistrate District 3,Charley Bunch,REP
Barren,Barren County Magistrate District 3,Daniel Turner,REP
Barren,Barren County Magistrate District 3,Tim Durham,REP
Barren,Barren County Magistrate District 4,Thomas G. Branham,REP
Barren,Barren County Magistrate District 4,Tim Coomer,REP
Barren,Barren County Magistrate District 4,Trevor Phillips,REP
Barren,Barren County Magistrate District 5,Greg Gassaway,REP
Barren,Barren County Magistrate District 5,Marty Kinslow,REP
Barren,Barren County Magistrate District 5,Steven Gil Hernandez,REP
Barren,Barren County Magistrate District 7,Brad Groce,REP
Barren,Barren County Magistrate District 7,Michael Haynes,REP
Barren,Barren County Sheriff,Adam Bow,REP
Barren,Barren County Sheriff,Freddie Joe Wilkerson,REP
Barren,Barren County Sheriff,Steve Garrison,REP
Bath,Bath County Commissioner Board District 1,Jimmy White,REP
Bath,Bath County Commissioner Board District 1,John B. Willoughby,REP
Bath,Bath County Commissioner Board District 2,Dewayne Carpenter,REP
Bath,Bath County Commissioner Board District 2,Sammy Knell,REP
Bath,Bath County Commissioner Board District 3,Johnny Brashear,REP
Bath,Bath County Commissioner Board District 3,Norman Crouch,DEM
Bath,Bath County Commissioner Board District 3,Rodney Lynn Jackson,REP
Bath,Bath County Commissioner Board District 3,Russell Skaggs,REP
Bath,Bath County Commissioner Board District 3,Travis Ginter,DEM
Bath,Bath County Constable District 1,Jimmy Perry,DEM
Bath,Bath County Constable District 1,Malcolm Eversole,DEM
Bath,Bath County Constable District 1,Sir Broyles,DEM
Bath,Bath County Constable District 2,Danny Belcher,DEM
Bath,Bath County Constable District 2,David Jackson,DEM
Bath,Bath County Jailer,Chris A. Jamison,DEM
Bath,Bath County Jailer,Eddie Alan Slone,REP
Bath,Bath County Jailer,Johnny Ray Botts,DEM
Bath,Bath County Jailer,Patrick Riddle,REP
Bath,Bath County Judge/Executive,B.A. Franklin,DEM
Bath,Bath County Judge/Executive,Banford D. Wilson,REP
Bath,Bath County Judge/Executive,Dallas Wayne Whisman,REP
Bath,Bath County Judge/Executive,Edgar Goodpaster,DEM
Bath,Bath County Judge/Executive,Glen Hartley,REP
Bath,Bath County Judge/Executive,Nathan Lewis Fugate,DEM
Bath,Bath County Judge/Executive,Walter J. Bailey,REP
Bath,Bath County Judge/Executive,Walter Shrout,DEM
Bath,Bath County Sheriff,Ben Buckler Sr.,REP
Bath,Bath County Sheriff,Chris Ingram,REP
Bath,Bath County Sheriff,Christopher A. Hall,REP
Bath,Bath County Sheriff,Daniel Hurst,DEM
Bath,Bath County Sheriff,Earl Willis,DEM
Bath,Bath County Sheriff,John Snedegar,REP
Bath,Bath County Sheriff,Jonathon Crouch,REP
Bath,Bath County Sheriff,Justin Sutherland,DEM
